dateCheck,CIR_Conf
2021-06-16,109.6
2021-06-17,109.6
2021-06-18,109.6
2021-06-19,109.6
2021-06-20,109.6
2021-06-21,109.6
2021-06-22,109.6
2021-06-23,109.6
2021-06-24,109.6
2021-06-25,109.6
2021-06-26,109.6
2021-06-27,107.552
2021-06-28,107.552
2021-06-29,107.552
2021-06-30,107.552
2021-07-01,107.552
2021-07-02,107.552
2021-07-03,107.552
2021-07-04,107.552
2021-07-05,107.552
2021-07-06,107.552
2021-07-07,107.552
2021-07-08,107.552
2021-07-09,107.552
2021-07-10,107.552
2021-07-11,107.552
2021-07-12,107.552
2021-07-19,107.552
2021-07-20,107.552
2021-07-21,107.552
2021-07-22,107.552
2021-07-25,107.552
2021-07-26,107.552
2021-07-27,107.552
2021-07-28,107.552
2021-07-29,107.552
2021-07-30,107.552
2021-07-31,107.552
2021-08-01,107.552
2021-08-02,107.552
2021-08-03,107.552
2021-08-04,107.552
2021-08-05,107.552
2021-08-06,107.552
2021-08-07,107.552
2021-08-08,107.552
2021-08-09,107.552
2021-08-10,107.552
2021-08-11,107.552
2021-08-12,107.552
2021-08-13,107.552
2021-08-14,107.552
2021-08-15,107.552
2021-08-16,107.552
2021-08-17,107.552
2021-08-18,107.552
2021-08-19,107.552
2021-08-20,107.552
2021-08-21,107.552
2021-08-22,107.552
2021-08-23,107.552
2021-08-24,107.552
2021-08-25,107.552
2021-08-26,107.552
2021-08-27,107.552
2021-08-28,107.552
2021-08-29,107.552
2021-09-09,108.064
2021-09-10,108.064
2021-09-11,108.064
2021-09-12,108.064
2021-09-13,108.064
2021-09-14,108.064
2021-09-15,108.064
2021-09-16,108.064
2021-09-17,108.064
2021-09-18,108.064
2021-09-19,108.064
2021-09-20,108.064
2021-09-21,108.064
2021-09-22,108.064
2021-09-23,108.064
2021-09-24,108.064
2021-09-25,108.064
2021-09-26,108.064
2021-09-27,108.064
2021-09-28,108.064
2021-09-29,108.064
2021-09-30,108.192
2021-10-01,108.192
2021-10-02,108.192
2021-10-03,108.064
2021-10-04,103.968
2021-10-05,103.968
2021-10-06,92.704
2021-10-07,92.704
2021-10-08,92.704
2021-10-09,92.704
2021-10-10,92.704
2021-10-11,92.704
2021-10-12,92.704
2021-10-13,92.704
2021-10-14,92.704
2021-10-15,92.704
2021-10-16,92.704
2021-10-17,92.704
2021-10-18,92.704
2021-10-19,92.704
2021-10-20,92.704
2021-10-21,92.704
2021-10-22,92.704
2021-10-23,92.704
2021-10-24,92.704
2021-10-25,92.704
2021-10-26,92.704
2021-10-27,92.704
2021-10-28,92.704
2021-10-30,92.704
2021-10-31,92.704
2021-11-01,92.704
2021-11-02,92.704
2021-11-03,92.704
2021-11-04,92.704
2021-11-05,92.704
2021-11-06,92.704
2021-11-07,92.704
2021-11-08,92.704
2021-11-09,92.704
2021-11-10,92.704
2021-11-11,92.704
2021-11-12,92.704
2021-11-13,92.704
2021-11-14,92.704
2021-11-15,92.704
2021-11-16,92.704
2021-11-17,92.704
2021-11-18,92.704
2021-11-19,92.704
2021-11-20,92.704
2021-11-21,92.704
2021-11-22,92.704
2021-11-23,92.704
2021-11-24,92.704
2021-11-25,92.704
2021-11-26,92.704
2021-11-27,92.704
2021-11-28,92.704
2021-11-29,92.704
2021-11-30,92.704
2021-12-01,92.704
2021-12-02,92.704
2021-12-03,92.704
2021-12-04,92.704
2021-12-05,92.704
2021-12-06,92.704
2021-12-07,92.704
2021-12-08,92.704
2021-12-09,92.704
2021-12-10,92.704
2021-12-11,92.704
2021-12-12,92.704
2021-12-13,92.704
2021-12-14,92.704
2021-12-15,90.656
2021-12-16,90.656
2021-12-17,90.656
2021-12-18,90.656
2021-12-19,90.656
2021-12-20,90.656
2021-12-21,90.656
2021-12-22,90.656
2021-12-23,90.656
2021-12-24,90.656
2021-12-25,90.656
2021-12-26,90.656
2021-12-27,90.656
2021-12-28,90.656
2021-12-29,90.656
2021-12-30,90.656
2021-12-31,90.656
